title,metascore,user_score
Rectify: Season 4,99,8.2
The Larry Sanders Show: Season 4,99,4.8
Murder One: Season 1,99,4.6
The Larry Sanders Show: Season 6,99,4.1
Breaking Bad: Season 5,99,9.7
The Office (UK): Season 3,98,8.4
The Office (UK): Season 1,98,8.5
Bo Burnham: Inside,98,8.4
The Leftovers: Season 3,98,9
The Wire: Season 3,98,9.1
The Wire: Season 4,98,9.1
The Sopranos: Season 2,97,9
The Larry Sanders Show: Season 5,97,5.6
Planet Earth: Blue Planet II,97,8.1
Atlanta: Season 2,97,8.1
The Sopranos: Season 3,97,9.1
America to Me: Season 1,96,5.6
Homeland: Season 2,96,8.3
Twin Peaks: Season 1,96,9.1
O.J.: Made in America: Season 1,96,8
What We Do in the Shadows (2019): Season 3,96,8.2
Breaking Bad: Season 4,96,9.5
The Sopranos: Season 6,96,8.9
Better Things: Season 2,96,7.3
Fleabag: Season 2,96,8.7
The U.S. and the Holocaust: Season 1,96,6.2
Fargo: Season 2,96,9.1
Planet Earth II: Season 1,96,9
Catastrophe: Season 3,96,8.1
Enlightened: Season 2,95,7.6
The Staircase: Season 1,95,6.7
The Americans: Season 4,95,9
The Wire: Season 2,95,9
Better Call Saul: Season 6.5,95,9.7
Homicide: Life on the Street: Season 1,94,8.7
Harley Quinn: Season 3,94,5.9
Better Things: Season 3,94,8.4
Better Call Saul: Season 6,94,9.4
Game of Thrones: Season 4,94,9.1
Battlestar Galactica (2003): Season 3,94,9.1
Barry: Season 3,94,7.9
Transparent: Season 2,94,6.6
Louie: Season 3,94,8.8
The Americans: Season 5,94,8.4
The Office (UK): Season 2,93,8.9
Reservation Dogs: Season 2,93,5.5
Deadwood: Season 2,93,9.1
City So Real: Season 1,93,4.4
PEN15: Season 2,93,7.5
Better Things: Season 5,93,5.7
Louie: Season 4,93,8.7
Curb Your Enthusiasm: Season 3,93,8.8
Bleak House: Season 1,93,9
Homecoming: A Film by Beyoncé,93,7.8
Atlanta: Season 3,93,5.9
The Larry Sanders Show: Season 3,93,6.8
The Americans: Season 6,92,8.2
Mad Men: Season 4,92,9.1
The Shield: Season 1,92,9.1
Better Call Saul: Season 5,92,9
Halt and Catch Fire: Season 4,92,8.3
The Underground Railroad,92,7.6
The Staircase [2018 Version]: Season 1,92,7.7
The Americans: Season 3,92,8.5
The Simpsons: Season 2,92,9
Romeo & Juliet,92,6.1
Evil: Season 3,92,5
Rectify: Season 2,92,8.8
Homeland: Season 1,92,8.2
Succession: Season 3,92,8.1
My Brilliant Friend: Season 2,92,8.3
The Handmaid's Tale: Season 1,92,7.9
Transparent: Season 1,92,7.4
The Returned: Season 1,92,8.6
My So-Called Life: Season 1,92,8.5
Catastrophe: Season 4,91,8.2
The Hollow Crown: Season 1,91,6.9
