name,ids,imdb_rank,years,genre,imdb_rating,imdb_votes
The Last of Us,3581920,1,2023-,"['Action', 'Adventure', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']",9.2,220703
You,7335184,2,2018-,"['Crime', 'Drama', 'Romance', 'Thriller']",7.7,257575
Poker Face,14269590,3,2023-,"['Crime', 'Drama', 'Mystery']",8.1,13047
1923,18335752,4,2022-2023,"['Drama', 'Western']",8.6,17809
Yellowstone,4236770,5,2018-2023,"['Drama', 'Western']",8.7,162886
The White Lotus,13406094,6,2021-2023,"['Comedy', 'Drama']",7.9,150089
Shrinking,15677150,7,2023-,"['Comedy', 'Drama']",7.8,9731
The Walking Dead,1520211,8,2010-2022,"['Drama', 'Horror', 'Thriller']",8.1,1010218
Star Trek: Picard,8806524,9,2020-2023,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",7.3,74629
Game of Thrones,944947,10,2011-2019,"['Action', 'Adventure', 'Drama', 'Fantasy']",9.2,2129030
The Gold,14063678,11,2023-,"['Crime', 'Drama', 'History']",7.5,1425
Breaking Bad,903747,12,2008-2013,"['Crime', 'Drama', 'Thriller']",9.5,1927986
Wednesday,13443470,13,2022-,"['Comedy', 'Crime', 'Fantasy', 'Mystery']",8.2,278467
Happy Valley,3428912,14,2014-2023,"['Crime', 'Drama', 'Thriller']",8.5,49841
Criminal Minds,452046,15,2005-,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.1,203742
The Rookie,7587890,16,2018-,"['Action', 'Crime', 'Drama']",8,43789
Farzi,15477488,17,2023-,"['Crime', 'Drama', 'Thriller']",8.5,15613
Carnival Row,489974,18,2019-2023,"['Crime', 'Drama', 'Fantasy', 'Mystery', 'Thriller']",7.8,67524
Your Honor,7440726,19,2020-2023,"['Crime', 'Drama', 'Thriller']",7.6,52924
The Flash,3107288,20,2014-2023,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",7.6,350232
Ted Lasso,10986410,21,2020-,"['Comedy', 'Drama', 'Sport']",8.8,229940
Better Call Saul,3032476,22,2015-2022,"['Crime', 'Drama']",8.9,550687
The Boys,1190634,23,2019-,"['Action', 'Comedy', 'Crime', 'Drama', 'Sci-Fi']",8.7,529041
The Legend of Vox Machina,11247158,24,2022-,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy']",8.4,31782
The Mandalorian,8111088,25,2019-,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",8.7,500098
Mayor of Kingstown,11712058,26,2021-,"['Crime', 'Drama', 'Thriller']",8.2,31507
South Park,121955,27,1997-,"['Animation', 'Comedy']",8.7,375874
Lockwood & Co,13802576,28,2023-,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",7.5,13916
Grey's Anatomy,413573,29,2005-,"['Drama', 'Romance']",7.6,315213
The Office,386676,30,2005-2013,['Comedy'],9,619778
Stranger Things,4574334,31,2016-2024,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",8.7,1215803
Ginny & Georgia,10813940,32,2021-,"['Comedy', 'Drama']",7.5,65898
NCIS,364845,33,2003-,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",7.8,151008
Clarkson's Farm,10541088,34,2021-,"['Documentary', 'Comedy', 'Reality-TV']",9,42616
Tulsa King,16358384,35,2022-,"['Crime', 'Drama']",8.1,39880
The Sopranos,141842,36,1999-2007,"['Crime', 'Drama']",9.2,410929
Better,14466190,37,2023-,"['Crime', 'Drama', 'Thriller']",6.5,687
New Amsterdam,7817340,38,2018-2023,['Drama'],8,42846
True Detective,2356777,39,2014-2019,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.9,581813
Supernatural,460681,40,2005-2020,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",8.4,452125
C.B. Strike,4276618,41,2017-,"['Crime', 'Drama', 'Mystery', 'Thriller']",7.9,18819
Succession,7660850,42,2018-,['Drama'],8.8,158342
Law & Order: Special Victims Unit,203259,43,1999-,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.1,110765
House of the Dragon,11198330,44,2022-,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",8.5,311638
Death in Paradise,1888075,45,2011-,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",7.8,22877
Peaky Blinders,2442560,46,2013-2022,"['Crime', 'Drama']",8.8,565223
Young Sheldon,6226232,47,2017-,['Comedy'],7.6,66793
Attack on Titan,898266,48,2013-2023,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",9,383745
Not Dead Yet,2560140,49,2023-,['Comedy'],6.5,1222
Severance,18250904,50,2022-,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",8.7,138337
Velma,11280740,51,2023-,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Mystery']",1.5,68818
Friends,14153790,52,1994-2004,"['Comedy', 'Romance']",8.9,1010720
The Big Bang Theory,108778,53,2007-2019,"['Comedy', 'Romance']",8.2,819057
It's Always Sunny in Philadelphia,472954,54,2005-,['Comedy'],8.8,230379
Accused,7949212,55,2023-,"['Crime', 'Drama']",7.2,1765
The Blacklist,2741602,56,2013-2023,"['Crime', 'Drama', 'Mystery', 'Thriller']",8,254255
Red Rose,19788500,57,2022-,"['Drama', 'Horror', 'Thriller']",6.4,2664
Vikings,2306299,58,2013-2020,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",8.5,542664
Mayfair Witches,15428778,59,2023-,"['Drama', 'Fantasy', 'Horror']",6.3,5430
Ghosts,11379026,60,2021-,"['Comedy', 'Fantasy']",7.8,19971
Outer Banks,10293938,61,2020-,"['Action', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",7.6,55586
Abbott Elementary,14218830,62,2021-,['Comedy'],8.2,21483
Modern Family,1442437,63,2009-2020,"['Comedy', 'Drama', 'Romance']",8.5,439641
Hunters,7456722,64,2020-2023,"['Crime', 'Drama', 'Mystery']",7.2,47775
Andor,9253284,65,2022-,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",8.4,121792
The Crown,4786824,66,2016-2023,"['Biography', 'Drama', 'History']",8.6,226139
The Law According to Lidia Poet,15441160,67,2023-,"['Biography', 'Crime', 'Drama', 'History', 'Mystery']",7.5,1808
Star Wars: The Bad Batch,12708542,68,2021-,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",7.8,38889
Bones,460627,69,2005-2017,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Romance']",7.8,163410
That '70s Show,165598,70,1998-2006,"['Comedy', 'Drama', 'Romance']",8.1,180309
