Title,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
Breaking Bad,100/100,1,0,0,0
Stranger Things,96/100,1,0,0,0
Attack on Titan,95/100,1,1,0,0
Better Call Saul,94/100,1,0,0,0
Dark,93/100,1,0,0,0
Avatar: The Last Airbender,93/100,1,0,1,0
Peaky Blinders,93/100,1,0,0,0
The Walking Dead,93/100,1,0,0,0
Black Mirror,92/100,1,0,0,0
The Queen's Gambit,92/100,1,0,0,0
Mindhunter,90/100,1,0,0,0
Community,90/100,1,1,1,0
Narcos,90/100,1,0,0,0
Shameless,90/100,1,1,1,0
Money Heist,90/100,1,0,0,0
Marvel's Daredevil,90/100,1,0,0,0
Lucifer,90/100,1,0,0,0
Supernatural,89/100,1,0,0,0
The Witcher,89/100,1,0,0,0
Ozark,89/100,1,0,0,0
The Crown,89/100,1,0,0,0
Cobra Kai,89/100,1,0,0,0
The Blacklist,88/100,1,0,0,0
The Flash,88/100,1,0,0,0
Outlander,88/100,1,0,0,0
Fullmetal Alchemist: Brotherhood,88/100,1,1,0,0
The Good Place,88/100,1,0,0,0
House of Cards,88/100,1,0,0,0
Atypical,88/100,1,0,0,0
Grey's Anatomy,87/100,1,1,0,0
Arrested Development,87/100,1,1,0,0
Lupin,87/100,1,0,0,0
The Umbrella Academy,87/100,1,0,0,0
Orange Is the New Black,87/100,1,0,0,0
The Vampire Diaries,86/100,1,0,0,0
Demon Slayer: Kimetsu no Yaiba,86/100,1,1,0,0
The Last Dance,86/100,1,0,0,0
American Horror Story,86/100,1,1,1,0
Elite,86/100,1,0,0,0
BoJack Horseman,86/100,1,0,0,0
Star Trek: The Next Generation,86/100,1,1,1,0
Broadchurch,86/100,1,0,0,0
The IT Crowd,86/100,1,0,0,0
When They See Us,86/100,1,0,0,0
"Love, Death & Robots",86/100,1,0,0,0
Schitt's Creek,86/100,1,0,0,0
Marvel's Agents of S.H.I.E.L.D.,86/100,1,0,0,0
Never Have I Ever,86/100,1,0,0,0
The 100,86/100,1,0,0,0
American Crime Story,85/100,1,0,0,0
The Last Kingdom,85/100,1,0,0,0
The End of the F***ing World,85/100,1,0,0,0
New Girl,85/100,1,0,0,0
Penny Dreadful,85/100,1,0,1,0
One Piece,85/100,1,1,0,0
Marvel's The Punisher,85/100,1,0,0,0
Evil,85/100,1,0,0,0
YOU,85/100,1,0,0,0
Sense8,84/100,1,0,0,0
Making a Murderer,84/100,1,0,0,0
Unbelievable,84/100,1,0,0,0
Arrow,84/100,1,0,0,0
Sex Education,84/100,1,0,0,0
Marvel's Jessica Jones,84/100,1,0,0,0
Sweet Tooth,84/100,1,0,0,0
Good Girls,84/100,1,1,0,0
Death Note,84/100,1,1,0,0
Gilmore Girls,84/100,1,0,0,0
The Legend of Korra,83/100,1,0,0,0
How to Get Away with Murder,83/100,1,1,0,0
Master of None,83/100,1,0,0,0
Chappelle's Show,83/100,1,0,0,0
One-Punch Man,83/100,1,1,0,0
Downton Abbey,83/100,1,0,1,0
Gotham,83/100,1,0,0,0
Pose,83/100,1,0,0,0
Bodyguard,83/100,1,0,0,0
Altered Carbon,83/100,1,0,0,0
Ash vs Evil Dead,83/100,1,0,0,0
The Sinner,83/100,1,0,0,0
Our Planet,82/100,1,0,0,0
Narcos: Mexico,82/100,1,0,0,0
Shadow and Bone,82/100,1,0,0,0
Castlevania,82/100,1,0,0,0
Star Trek,82/100,1,1,1,0
The Kominsky Method,82/100,1,0,0,0
Hunter x Hunter,82/100,1,1,0,0
Dead to Me,82/100,1,0,0,0
The Haunting of Hill House,82/100,1,0,0,0
Russian Doll,82/100,1,0,0,0
Kingdom,82/100,1,1,0,0
Neon Genesis Evangelion,82/100,1,0,0,0
Naruto,81/100,1,1,0,0
NCIS,81/100,1,0,0,0
Manifest,81/100,1,1,0,0
Halt and Catch Fire,81/100,1,0,0,0
Monty Python's Flying Circus,81/100,1,0,0,0
After Life,81/100,1,0,0,0
Riverdale,81/100,1,1,0,0
Big Mouth,81/100,1,0,0,0
I Think You Should Leave with Tim Robinson,81/100,1,0,0,0
Derry Girls,81/100,1,0,0,0
The Promised Neverland,81/100,1,1,0,0
Lost in Space,80/100,1,1,0,0
Star Trek: Deep Space Nine,80/100,1,1,1,0
Jane the Virgin,80/100,1,0,0,0
Godless,80/100,1,0,0,0
The OA,80/100,1,0,0,0
DC's Legends of Tomorrow,80/100,1,0,0,0
Sacred Games,80/100,1,0,0,0
iZombie,80/100,1,0,0,0
Longmire,80/100,1,0,0,0
Happy Endings,80/100,1,1,0,0
Into the Badlands,80/100,1,0,0,0
The Originals,80/100,1,0,0,0
Anne with an E,80/100,1,0,0,0
Grace and Frankie,80/100,1,0,0,0
Chilling Adventures of Sabrina,80/100,1,0,0,0
Queen of the South,79/100,1,0,0,0
A Series of Unfortunate Events,79/100,1,0,0,0
Bridgerton,79/100,1,0,0,0
Unorthodox,79/100,1,0,0,0
Stargate SG-1,79/100,1,1,0,0
Outer Banks,79/100,1,0,0,0
