Title,Primary SVOD
The Last of Us,HBO Max
You,Netflix
Poker Face,Peacock
1923,Paramount +
Yellowstone,Peacock
The White Lotus,HBO Max
Shrinking,Apple TV +
The Walking Dead,AMC +
Star Trek: Picard,Paramount +
Game of Thrones,HBO Max
The Gold,Hulu
Breaking Bad,Netflix
Wednesday,Netflix
Happy Valley,Apple TV +
Criminal Minds,Paramount +
The Rookie,Hulu
Farzi,Amazon Prime
Carnival Row,Amazon Prime
Your Honor,Paramount +
The Flash,Netflix
Ted Lasso,Apple TV +
Better Call Saul,AMC +
The Boys,Amazon Prime
The Legend of Vox Machina,Amazon Prime
The Mandalorian,Disney +
Mayor of Kingstown,Paramount +
South Park,HBO Max
Lockwood & Co,Netflix
Grey's Anatomy,Netflix
The Office,Peacock
Stranger Things,Netflix
Ginny & Georgia,Netflix
NCIS,Paramount +
Clarkson's Farm,Amazon Prime
Tulsa King,Paramount +
The Sopranos,HBO Max
Better,Showtime
New Amsterdam,Netflix
True Detective,HBO Max
Supernatural,Netflix
C.B. Strike,HBO Max
Succession,HBO Max
Law & Order: Special Victims Unit,Hulu
House of the Dragon,HBO Max
Death in Paradise,Discovery +
Peaky Blinders,Netflix
Young Sheldon,Paramount +
Attack on Titan,Hulu
Not Dead Yet,Hulu
Severance,Apple TV +
Velma,HBO Max
Friends,HBO Max
The Big Bang Theory,HBO Max
It's Always Sunny in Philadelphia,Hulu
Accused,Hulu
The Blacklist,Peacock
Red Rose,Netflix
Vikings,Amazon Prime
Mayfair Witches,AMC +
Ghosts,Paramount +
Outer Banks,Netflix
Abbott Elementary,Hulu
Modern Family,Hulu
Hunters,Amazon Prime
Andor,Disney +
The Crown,Netflix
The Law According to Lidia Poet,Netflix
Star Wars: The Bad Batch,Disney +
Bones,Amazon Prime
That '70s Show,Peacock
Outlander,Starz
Doctor Who,HBO Max
Wolf Pack,Paramount +
Jack Ryan,Paramount +
The Chosen,Amazon Prime
Euphoria,HBO Max
Cunk on Earth,Netflix
That '90s Show,Netflix
Black Mirror,Netflix
Westworld,HBO Max
The Wire,HBO Max
Servant,Apple TV +
Will Trent,Hulu
Why Women Kill,Paramount +
Seinfeld,Netflix
Suits,Peacock
Vera,Amazon Prime
Extraordinary,Hulu
Fauda,Netflix
Shameless,Netflix
Midsomer Murders,Showtime
Yellowjackets,Showtime
Teen Wolf,Amazon Prime
The Good Doctor,Hulu
Vikings: Valhalla,Netflix
American Horror Story,Hulu
Narcos,Netflix
The Last Kingdom,Netflix
Blue Bloods,Paramount +
Lost,Hulu
The Lord of the Rings: The Rings of Power,Amazon Prime
Slow Horses,Apple TV +
Family Guy,Hulu
The X-Files,Hulu
Hello Tomorrow!,Apple TV +
House M.D.,Amazon Prime
Law & Order,Peacock
One Piece,Netflix
How I Met Your Father,Hulu
National Treasure: Edge of History,Disney +
His Dark Materials,HBO Max
The Ark,Peacock
Lucifer,Netflix
The Witcher,Netflix
Star Trek: The Next Generation,Paramount +
How I Met Your Mother,Hulu
Two and a Half Men,Peacock
Parks and Recreation,Peacock
Reacher,Amazon Prime
The Sinner,Netflix
Physical: 100,Netflix
The Bear,Hulu
The Simpsons,Disney +
Only Murders in the Building,Hulu
Alice in Borderland,Netflix
Rick and Morty,HBO Max
Dear Edward,Apple TV +
Community,Netflix
The Handmaid's Tale,Hulu
Chicago Fire,Peacock
La Brea,Peacock
Buffy the Vampire Slayer,Hulu
The Peripheral,Amazon Prime
Manifest,Netflix
Castle,Hulu
Fire Country,Paramount +
9-1-1: Lone Star,Hulu
Fargo,Hulu
ER,Hulu
FBI,Paramount +
Animal Control,Hulu
Sex Education,Netflix
Ozark,Netflix
New Girl,Netflix
Full Swing,Netflix
The Recruit,Netflix
Magnum P.I.,Peacock
Fear the Walking Dead,Hulu
Funny Woman,Showtime
Chicago P.D.,Peacock
